time,pitch_angle,yaw_angle,err_x,err_y,err_total,accumulate_err_x,accumulate_err_y,accumulate_err_total,controller_output_x,controller_output_y,score
0.0,-9.3,11.4,0.5249999999999773,0.0,0.5249999999999773,0.010499999999999546,0.0,0.010499999999999546,0.06299999999999727,-0.0,0.126595601439476
0.3100547790527344,-9.3,11.4,0.6912499999999682,0.0,0.6912499999999682,0.02432499999999891,0.0,0.02432499999999891,0.0856524104029596,-0.0,0.1264578253030777
0.4693911075592041,-9.3,11.4,0.7993125000000418,0.17500000000001137,0.8182453621355399,0.04031124999999974,0.0035000000000002273,0.04068990724270971,0.10068317631277317,-0.02649431695429339,0.1271691620349884
0.6586594581604004,-9.3,11.4,0.8695531250000386,0.46375000000000455,0.985488051524389,0.05770231250000052,0.012775000000000317,0.060399668273197496,0.10861833824264969,-0.0660353882225169,0.1271606683731079
0.8261690139770508,-9.3,11.5,0.9152095312500705,0.8264374999999973,1.233129120367052,0.07600650312500193,0.029303750000000264,0.08506225068053853,0.11336456924531853,-0.11521069550678537,0.12794426083564758
0.9832568168640137,-9.4,11.5,0.9448861953125061,1.0621843750000153,1.4216348225146698,0.09490422703125205,0.05054743750000057,0.11349494713083193,0.11614846612541763,-0.14301427884165066,0.1280430555343628
1.1575474739074707,-9.4,11.5,0.9641760269531687,1.2154198437499986,1.551412520103041,0.11418774757031543,0.07485583437500054,0.14452319753289275,0.11769277039155496,-0.15806466411840375,0.1274378001689911
1.304847240447998,-9.4,11.5,0.9767144175195881,1.315022898437519,1.6380647962781087,0.1337220359207072,0.10115629234375093,0.17728449345845493,0.11869035097350256,-0.16734186323667197,0.12753695249557495
1.4546520709991455,-9.4,11.5,0.9848643713877436,1.3797648839843646,1.6952017476115822,0.15341932334846206,0.12875159002343822,0.21118852841068658,0.11926880365154939,-0.17256421551834178,0.12765079736709595
1.6029837131500244,-9.5,11.5,0.9901618414020277,1.4218471745898569,1.7326482216704615,0.17322256017650262,0.15718853351523537,0.24584149284409582,0.11961858890124613,-0.17560914570296515,0.12791478633880615
1.7651968002319336,-9.5,11.5,0.9936051969112896,1.4492006634833956,1.757109515758718,0.19309466411472842,0.18617254678490328,0.2809836831592702,0.11982517830283007,-0.17732666882607134,0.12790338695049286
1.9524004459381104,-9.5,11.6,0.9958433779924007,1.4669804312642327,1.7730582672894621,0.21301153167457643,0.21551215541018792,0.31644484850505944,0.11995467968165013,-0.17832524487682078,0.12778794765472412
2.1064565181732178,-9.6,11.6,0.9972981956950662,1.4785372803217456,1.7834450315156503,0.23295749558847775,0.24508290101662283,0.35211374913537247,0.12005319817483488,-0.1790538233720802,0.12722496688365936
2.2527551651000977,-9.6,11.6,0.9982438272018044,1.4860492322091545,1.7902047533999912,0.25292237213251384,0.27480388566080594,0.3879178442033723,0.12012066770329356,-0.179518135389477,0.1273459494113922
2.414093494415283,-9.6,11.6,0.9988584876812183,1.4909320009359703,1.7946020477609366,0.2728995418861382,0.30462252567952536,0.423809885158591,0.12016696743747687,-0.17979327795045194,0.12744511663913727
2.5767250061035156,-9.7,11.6,0.999258016992826,1.494105800608395,1.7974617458894884,0.2928847022259947,0.33450464169169325,0.4597591200763808,0.12020260903296577,-0.17997726632715352,0.12752771377563477
2.721651077270508,-9.7,11.6,0.9995177110453142,1.4961687703954567,1.7993211620497096,0.312875056446901,0.3644280170996024,0.495745543317375,0.12023065770038807,-0.1801095196329788,0.12752771377563477
2.8598244190216064,-9.7,11.6,0.9996865121794372,1.497509700757064,1.8005300404311502,0.33286878669048975,0.39437821111474364,0.531756144125998,0.1202530754959991,-0.18019997994686374,0.12764325737953186
3.001589298248291,-9.7,11.6,0.9997962329166512,1.498381305492103,1.8013159200991218,0.3528647113488228,0.4243458372245857,0.5677824625279805,0.12027235141546623,-0.18026246056400322,0.12764325737953186
3.1303584575653076,-9.8,11.6,0.9998675513958233,1.4989478485698555,1.8018267877536058,0.37286206237673925,0.4543247941959828,0.6038189982830526,0.12028865218304435,-0.18030932788207563,0.1276814043521881
3.259653329849243,-9.8,11.7,0.9999139084072795,1.4993161015704004,1.8021588710917205,0.39286034054488483,0.4843111162273908,0.639862175704887,0.12030360051639155,-0.180344936212844,0.1276814043521881
3.405390977859497,-9.8,11.7,0.9999440404646975,1.4995554660207517,1.8023747334374112,0.4128592213541788,0.5143022255478058,0.6759096703736353,0.12031925896326319,-0.1803755017561039,0.12771956622600555
3.5343289375305176,-9.9,11.7,0.9999636263020193,1.499711052913483,1.8025150474151255,0.4328584938802192,0.5442964466060755,0.7119599713219378,0.12033296314492585,-0.1804013242038226,0.12751637399196625
3.6914799213409424,-9.9,11.7,0.9999763570963296,1.499812184393761,1.8026062529592066,0.4528580210221458,0.5742926902939507,0.7480120963811219,0.12034908138770749,-0.18042812145566617,0.12753288447856903
3.8247766494750977,-9.9,11.7,0.9999846321126142,1.4998779198559191,1.802665537178963,0.47285771366439805,0.6042902486910691,0.7840654071247011,0.12036274711648938,-0.18045079658549829,0.12742957472801208
3.9565176963806152,-9.9,11.8,0.9999900108732618,1.4999206479063218,1.802704072182128,0.4928575138818633,0.6342886616491955,0.8201194885683436,0.12037613191337561,-0.18047223697072384,0.1271500140428543
4.104024648666382,-10.0,11.8,0.9999935070676429,1.499948421139095,1.8027291200441369,0.5128573840232161,0.6642876300719774,0.8561740709692264,0.12039099911047921,-0.1804952912474964,0.12710559368133545
